date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeTotUSD,HashRate,IssTotUSD,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjUSD,TxTfrValMeanUSD,TxTfrValMedUSD,TxTfrValUSD,VtyDayRet30d,FearAndGreed,Tweets
39840,101,97,21370,220.309278350515,,,0,1,,0.00000482189615407407,,,,,103000,1,1,,,,,,,1042
39841,112,112,24152,215.642857142857,,,0,1,,0.00000556755019851852,,,,,108600,0,0,,,,,,,
39842,134,121,27498,227.256198347107,,,0,1,,0.00000601494262518518,,,,,114650,1,1,,,,,,,28
39843,117,117,25254,215.846153846154,,,0,1,,0.00000581610154666667,,,,,120500,0,0,,,,,,,
39844,159,138,32084,232.492753623188,,,0,1,,0.00000686001720888889,,,,,127400,1,1,,,,,,,
39845,116,113,24656,218.194690265487,,,0,1,,0.00000561726046814815,,,,,133050,1,1,,,,,,,
39846,130,128,27789,217.1015625,,,0,1,,0.00000636291451259259,,,,,139450,1,1,,,,,,,
39847,154,139,34536,248.460431654676,,,0,1,,0.00000690972747851852,,,,,146400,16,12,,,,,,,
39848,119,119,25674,215.747899159664,,,0,1,,0.00000591552208592593,,,,,152350,0,0,,,,,,,
39849,126,126,27185,215.753968253968,,,0,1,,0.00000626349397333333,,,,,158650,0,0,,,,,,,
39850,122,122,26330,215.819672131148,,,0,1,,0.00000606465289481481,,,,,164750,0,0,,,,,,,
39851,156,129,31002,240.325581395349,,,0,1,,0.00000641262478222222,,,,,171200,4,4,,,,,,,
39852,134,132,28720,217.575757575758,,,0,1,,0.00000656175559111111,,,,,177800,1,1,,,,,,,
39853,179,134,33982,253.597014925373,,,0,1,,0.00000666117613037037,,,,,184500,1,1,,,,,,,
39854,120,120,25880,215.666666666667,,,0,1,,0.00000596523235555556,,,,,190500,0,0,,,,,,,
39855,148,133,30475,229.135338345865,,,0,1,,0.00000661146586074074,,,,,197150,2,2,,,,,,,
39856,119,119,25688,215.865546218487,,,0,1,,0.00000591552208592593,,,,,203100,0,0,,,,,,,
39857,124,124,26769,215.879032258065,,,0,1,,0.00000616407343407407,,,,,209300,0,0,,,,,,,
39858,136,136,29347,215.786764705882,,,0,1,,0.00000676059666962963,,,,,216100,0,0,,,,,,,
39859,142,128,29364,229.40625,,,0,1,,0.00000636291451259259,,,,,222500,3,3,,,,,,,
39860,153,122,29787,244.155737704918,,,0,1,,0.00000606465289481481,,,,,228600,1,1,,,,,,,
39861,117,117,25263,215.923076923077,,,0,1,,0.00000581610154666667,,,,,234450,0,0,,,,,,,
39862,118,118,25481,215.940677966102,,,0,1,,0.0000058658118162963,,,,,240350,0,0,,,,,,,64
39863,141,124,28650,231.048387096774,,,0,1,,0.00000616407343407407,,,,,246550,1,1,,,,,,,
39864,122,122,26334,215.852459016393,,,0,1,,0.00000606465289481481,,,,,252650,0,0,,,,,,,
39865,114,114,24619,215.956140350877,,,0,1,,0.00000566697073777778,,,,,258350,0,0,,,,,,,
39866,133,121,27655,228.553719008264,,,0,1,,0.00000601494262518518,,,,,264400,4,4,,,,,,,
39867,108,108,23327,215.990740740741,,,0,1,,0.00000536870912,,,,,269800,0,0,,,,,,,
39868,106,106,22888,215.924528301887,,,0,1,,0.00000526928858074074,,,,,275100,0,0,,,,,,,
39869,105,105,22667,215.87619047619,,,0,1,,0.00000521957831111111,,,,,280350,0,0,,,,,,,
39870,107,107,23107,215.953271028037,,,0,1,,0.00000531899885037037,,,,,285700,0,0,,,,,,,
39871,152,115,28958,251.808695652174,,,0,1,,0.00000571668100740741,,,,,291450,1,1,,,,,,,
39872,107,99,22227,224.515151515152,,,0,1,,0.00000492131669333333,,,,,296400,1,1,,,,,,,
39873,105,105,22676,215.961904761905,,,0,1,,0.00000521957831111111,,,,,301650,0,0,,,,,,,
39874,108,108,23324,215.962962962963,,,0,1,,0.00000536870912,,,,,307050,0,0,,,,,,,
39875,114,105,23670,225.428571428571,,,0,1,,0.00000521957831111111,,,,,312300,2,2,,,,,,,
39876,130,104,25450,244.711538461538,,,0,1,,0.00000516986804148148,,,,,317500,2,2,,,,,,,
39877,121,112,25132,224.392857142857,,,0,1,,0.00000556755019851852,,,,,323100,1,1,,,,,,,
39878,117,117,25265,215.940170940171,,,0,1,,0.00000581610154666667,,,,,328950,0,0,,,,,,,
39879,109,109,23541,215.97247706422,,,0,1,,0.00000541841938962963,,,,,334400,0,0,,,,,,,
39880,142,115,28013,243.591304347826,,,0,1,,0.00000571668100740741,,,,,340150,3,3,,,,,,,
39881,108,108,23297,215.712962962963,,,0,1,,0.00000536870912,,,,,345550,0,0,,,,,,,
39882,107,107,23109,215.971962616822,,,0,1,,0.00000531899885037037,,,,,350900,0,0,,,,,,,
39883,114,114,24610,215.877192982456,,,0,1,,0.00000566697073777778,,,,,356600,0,0,,,,,,,
39884,122,118,25906,219.542372881356,,,0,1,,0.0000058658118162963,,,,,362500,1,1,,,,,,,
39885,127,113,25921,229.389380530973,,,0,1,,0.00000561726046814815,,,,,368150,1,1,,,,,,,
39886,110,110,23736,215.781818181818,,,0,1,,0.00000546812965925926,,,,,373650,0,0,,,,,,,
39887,123,123,26565,215.975609756098,,,0,1,,0.00000611436316444444,,,,,379800,0,0,,,,,,,
39888,170,121,31643,261.512396694215,,,0,1,,0.00000601494262518518,,,,,385850,1,1,,,,,,,
39889,114,114,24619,215.956140350877,,,0,1,,0.00000566697073777778,,,,,391550,0,0,,,,,,,
39890,129,114,26301,230.710526315789,,,0,1,,0.00000566697073777778,,,,,397250,2,2,,,,,,,
39891,122,122,26326,215.786885245902,,,0,1,,0.00000606465289481481,,,,,403350,0,0,,,,,,,
39892,131,118,26888,227.864406779661,,,0,1,,0.0000058658118162963,,,,,409250,1,1,,,,,,,
39893,50,50,10792,215.84,,,0,1,,0.00000248551348148148,,,,,411750,0,0,,,,,,,
39894,131,119,27030,227.142857142857,,,0,1,,0.00000591552208592593,,,,,417700,2,2,,,,,,,
39895,130,130,28070,215.923076923077,,,0,1,,0.00000646233505185185,,,,,424200,0,0,,,,,,,
39896,105,105,22678,215.980952380952,,,0,1,,0.00000521957831111111,,,,,429450,0,0,,,,,,,
39897,117,117,25247,215.786324786325,,,0,1,,0.00000581610154666667,,,,,435300,0,0,,,,,,,
39898,146,117,28502,243.606837606838,,,0,1,,0.00000581610154666667,,,,,441150,1,1,,,,,,,
39899,106,106,22891,215.952830188679,,,0,1,,0.00000526928858074074,,,,,446450,0,0,,,,,,,
39900,140,119,28112,236.235294117647,,,0,1,,0.00000591552208592593,,,,,452400,3,3,,,,,,,
39901,116,116,25052,215.965517241379,,,0,1,,0.00000576639127703704,,,,,458200,0,0,,,,,,,
39902,120,120,25902,215.85,,,0,1,,0.00000596523235555556,,,,,464200,0,0,,,,,,,
39903,143,110,27447,249.518181818182,,,0,1,,0.00000546812965925926,,,,,469700,1,1,,,,,,,
39904,114,114,24606,215.842105263158,,,0,1,,0.00000566697073777778,,,,,475400,0,0,,,,,,,
39905,115,115,24829,215.904347826087,,,0,1,,0.00000571668100740741,,,,,481150,0,0,,,,,,,
39906,116,116,25048,215.931034482759,,,0,1,,0.00000576639127703704,,,,,486950,0,0,,,,,,,
39907,113,113,24381,215.761061946903,,,0,1,,0.00000561726046814815,,,,,492600,0,0,,,,,,,
39908,148,130,30102,231.553846153846,,,0,1,,0.00000646233505185185,,,,,499100,2,2,,,,,,,
39909,109,109,23542,215.981651376147,,,0,1,,0.00000541841938962963,,,,,504550,0,0,,,,,,,
39910,100,100,21599,215.99,,,0,1,,0.00000497102696296296,,,,,509550,0,0,,,,,,,
